Txn Hash,Method,TimeStamp,From,To,TokenID,Contract Address,Value,Type,Market Place
0x5323e23887211d0caad7f97dbf0d9d685db1452c04c2f067f86b2dd1e4e77719,Stake,2021-11-07 5:45:34,0x2f2fc34e798a5884efb4022c8caa402baf94c35f,0x33caa8f6881b20cded1d18578d8194cb62af737b,7252,0x33caA8f6881b20CDeD1d18578D8194Cb62Af737b,0.0,Transfer,None
0x5323e23887211d0caad7f97dbf0d9d685db1452c04c2f067f86b2dd1e4e77719,Stake,2021-11-07 5:45:34,0x2f2fc34e798a5884efb4022c8caa402baf94c35f,0x33caa8f6881b20cded1d18578d8194cb62af737b,7022,0x33caA8f6881b20CDeD1d18578D8194Cb62Af737b,0.0,Transfer,None
0xc1e1edad51419be6affb1f4c54a1713b2e86d197d95e01076a007aa5351cee1e,Stake,2021-11-07 5:30:46,0x058eb53b19316d56f46550955b73b489d6b1c236,0x33caa8f6881b20cded1d18578d8194cb62af737b,2564,0x33caA8f6881b20CDeD1d18578D8194Cb62Af737b,0.0,Transfer,None
0xc1e1edad51419be6affb1f4c54a1713b2e86d197d95e01076a007aa5351cee1e,Stake,2021-11-07 5:30:46,0x058eb53b19316d56f46550955b73b489d6b1c236,0x33caa8f6881b20cded1d18578d8194cb62af737b,1910,0x33caA8f6881b20CDeD1d18578D8194Cb62Af737b,0.0,Transfer,None
0x843c4400360ed6d019ece45381b0ea6abeef3dc826822a141c102ae559c56c76,Stake,2021-11-07 5:05:09,shuennnyyy.eth,0x33caa8f6881b20cded1d18578d8194cb62af737b,2530,0x33caA8f6881b20CDeD1d18578D8194Cb62Af737b,0.0,Transfer,None
0xb033c8ab617f492673bef6b5ab1204eb4edbcebf7df451878c7f608eb87b6990,Stake,2021-11-07 4:33:49,0x4692619c6580f10aa897e6d1ba725dd58121ea6b,0x33caa8f6881b20cded1d18578d8194cb62af737b,8318,0x33caA8f6881b20CDeD1d18578D8194Cb62Af737b,0.0,Transfer,None
0xb033c8ab617f492673bef6b5ab1204eb4edbcebf7df451878c7f608eb87b6990,Stake,2021-11-07 4:33:49,0x4692619c6580f10aa897e6d1ba725dd58121ea6b,0x33caa8f6881b20cded1d18578d8194cb62af737b,3965,0x33caA8f6881b20CDeD1d18578D8194Cb62Af737b,0.0,Transfer,None
0x05aef0f4ce6bae43262244d37ee4b1d30016cc34e64aedabce009aa0683d0053,Stake,2021-11-07 4:32:10,0xba62710cd36b5f801f9717af89055eccaf261045,0x33caa8f6881b20cded1d18578d8194cb62af737b,2341,0x33caA8f6881b20CDeD1d18578D8194Cb62Af737b,0.0,Transfer,None
0x640a842c2543c03ca59dac70724dc51ef0004cb702232e4f2d42941bc156d7a0,Proxy Assert,2021-11-07 4:27:45,0x97e2b1eff9ef076635eb2983702e6b74d1d509b9,0x4692619c6580f10aa897e6d1ba725dd58121ea6b,8318,0x973ED1888BB440409FE367FE1b86553e97CFb946,0.0,Transfer,None
0x640a842c2543c03ca59dac70724dc51ef0004cb702232e4f2d42941bc156d7a0,Proxy Assert,2021-11-07 4:27:45,0x97e2b1eff9ef076635eb2983702e6b74d1d509b9,0x4692619c6580f10aa897e6d1ba725dd58121ea6b,3965,0x973ED1888BB440409FE367FE1b86553e97CFb946,0.0,Transfer,None
0x60b81ad66c0adaa2f4610f94f1720bc91894b01a8017e9d911e10189272153d2,Transfer From,2021-11-07 4:04:31,0x459bf18e7954d3f64f1a0054e87632fac33c586d,0x9a7a6d71310bd7ca68b5450d9588d52fff69298a,8366,0xd49eCCf40689095AD9e8334d8407f037E2cF5e42,0.0,Transfer,None
0xbff127de98f742aa1845bb9638bbcc71c8e48d513d5907bb1074939056135bcd,Stake,2021-11-07 4:03:53,0x152a96c15fada9a05d07974da1bd8d7ef63dd8f0,0x33caa8f6881b20cded1d18578d8194cb62af737b,8393,0x33caA8f6881b20CDeD1d18578D8194Cb62Af737b,0.0,Transfer,None
0xbff127de98f742aa1845bb9638bbcc71c8e48d513d5907bb1074939056135bcd,Stake,2021-11-07 4:03:53,0x152a96c15fada9a05d07974da1bd8d7ef63dd8f0,0x33caa8f6881b20cded1d18578d8194cb62af737b,675,0x33caA8f6881b20CDeD1d18578D8194Cb62Af737b,0.0,Transfer,None
0xbff127de98f742aa1845bb9638bbcc71c8e48d513d5907bb1074939056135bcd,Stake,2021-11-07 4:03:53,0x152a96c15fada9a05d07974da1bd8d7ef63dd8f0,0x33caa8f6881b20cded1d18578d8194cb62af737b,2832,0x33caA8f6881b20CDeD1d18578D8194Cb62Af737b,0.0,Transfer,None
0xbff127de98f742aa1845bb9638bbcc71c8e48d513d5907bb1074939056135bcd,Stake,2021-11-07 4:03:53,0x152a96c15fada9a05d07974da1bd8d7ef63dd8f0,0x33caa8f6881b20cded1d18578d8194cb62af737b,1071,0x33caA8f6881b20CDeD1d18578D8194Cb62Af737b,0.0,Transfer,None
0xfeabeca811e04eb7a54418c965da01f18062d4b39feb7988e642be00f636f5c1,Transfer From,2021-11-07 4:01:17,0x459bf18e7954d3f64f1a0054e87632fac33c586d,0x9a7a6d71310bd7ca68b5450d9588d52fff69298a,219,0xd49eCCf40689095AD9e8334d8407f037E2cF5e42,0.0,Transfer,None
0x5801d90ffe4083df950d046b29bab6dc9aa1c856dce180bfcc58d61d3966a68d,Stake,2021-11-07 3:57:51,0x3c1a4d0a74da4bce4cf07a0789af288e4c109e68,0x33caa8f6881b20cded1d18578d8194cb62af737b,9052,0x33caA8f6881b20CDeD1d18578D8194Cb62Af737b,0.0,Transfer,None
